"x","Y","piece"
255.096,-0.965254096380265,"956_IIc"
259.82,-0.814865645816013,"956_IIc"
264.544,-0.636067056746809,"956_IIc"
269.268,-0.636067056746809,"956_IIc"
273.992,-0.476877639363088,"956_IIc"
278.716,-0.476877639363088,"956_IIc"
283.44,-0.476877639363088,"956_IIc"
288.164,-0.816193510985266,"956_IIc"
292.888,-0.816193510985266,"956_IIc"
297.612,-0.713716288562787,"956_IIc"
302.336,-0.713716288562787,"956_IIc"
307.06,-0.890245154610128,"956_IIc"
311.784,-0.992722377032606,"956_IIc"
316.508,-1.02562564070329,"956_IIc"
321.232,-1.04109681395435,"956_IIc"
325.956,-0.934790398950771,"956_IIc"
330.68,-0.890245154610128,"956_IIc"
335.404,-0.804072881242664,"956_IIc"
340.128,-0.890245154610128,"956_IIc"
344.852,-0.913498235364723,"956_IIc"
349.576,-0.913498235364723,"956_IIc"
354.3,-0.82732596199726,"956_IIc"
359.024,-0.82732596199726,"956_IIc"
363.748,-0.82732596199726,"956_IIc"
368.472,-0.82732596199726,"956_IIc"
373.196,-0.862900396299112,"956_IIc"
377.92,-0.862900396299112,"956_IIc"
382.644,-0.862900396299112,"956_IIc"
387.368,-0.862900396299112,"956_IIc"
392.092,-0.933802220220164,"956_IIc"
396.816,-0.933802220220164,"956_IIc"
401.54,-0.933802220220164,"956_IIc"
406.264,-0.903909813619302,"956_IIc"
410.988,-0.803964799194004,"956_IIc"
415.712,-0.732306400932331,"956_IIc"
420.436,-0.667426291150916,"956_IIc"
425.16,-0.667426291150916,"956_IIc"
429.884,-0.710103260079005,"956_IIc"
434.608,-0.667426291150916,"956_IIc"
439.332,-0.615886594232694,"956_IIc"
444.056,-0.615886594232694,"956_IIc"
448.78,-0.615886594232694,"956_IIc"
453.504,-0.615886594232694,"956_IIc"
458.228,-0.591691655625489,"956_IIc"
462.952,-0.603009390149472,"956_IIc"
467.676,-0.714040534708767,"956_IIc"
472.4,-0.759882763633333,"956_IIc"
477.124,-0.809832110406983,"956_IIc"
481.848,-0.809832110406983,"956_IIc"
486.572,-0.809832110406983,"956_IIc"
491.296,-0.728523529229226,"956_IIc"
496.02,-0.728523529229226,"956_IIc"
500.744,-0.809832110406983,"956_IIc"
505.468,-0.943251679331594,"956_IIc"
510.192,-0.943251679331594,"956_IIc"
514.916,-0.809832110406983,"956_IIc"
519.64,-0.947312476302682,"956_IIc"
524.364,-1.09146304862998,"956_IIc"
529.088,-1.09146304862998,"956_IIc"
533.812,-1.09146304862998,"956_IIc"
538.536,-1.09146304862998,"956_IIc"
543.26,-0.752857430470424,"956_IIc"
547.984,-0.374925386891244,"956_IIc"
552.708,-0.0686054206957413,"956_IIc"
557.432,0.298286813627438,"956_IIc"
562.156,0.314560882097122,"956_IIc"
566.88,0.314560882097122,"956_IIc"
571.604,0.431212293186744,"956_IIc"
576.328,0.431212293186744,"956_IIc"
581.052,0.305451109424338,"956_IIc"
585.776,0.680881825591668,"956_IIc"
590.5,0.680881825591668,"956_IIc"
595.224,1.11984934607849,"956_IIc"
599.948,0.680881825591668,"956_IIc"
604.672,0.438314827812982,"956_IIc"
609.396,0.697094132890689,"956_IIc"
614.12,0.976717833067138,"956_IIc"
618.844,0.976717833067138,"956_IIc"
623.568,1.15690604847626,"956_IIc"
628.292,1.27857555468224,"956_IIc"
633.016,1.13544404167089,"956_IIc"
637.74,1.02550915789086,"956_IIc"
642.464,0.968225672100984,"956_IIc"
647.188,0.968225672100984,"956_IIc"
651.912,0.968225672100984,"956_IIc"
656.636,0.751598366000731,"956_IIc"
